Name,DOB,SSN,Zip,Age,Workclass,fnlwgt,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
Gwenneth Spriggen,12/6/1951,171-82-0984,58492,31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,,>50K
Lulita Tschersich,10/25/1954,602-74-4118,14378,48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
Constantia Shubotham,10/14/1984,308-62-8879,82327,31,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
Theo Fearney,1/22/1983,439-28-9935,95683,53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
Lulu Scollan,6/12/2003,380-78-1227,18173,24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
Dora Richardes,10/2/1953,412-32-2882,75680,49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Abdel Hornbuckle,2/25/2005,352-78-8199,6217,25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
Goddard Mattiessen,8/21/1986,272-03-9824,74972,57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
Myron Lincey,10/11/1996,115-43-9351,80887,53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
Aurthur Bourhill,9/28/1974,609-42-1751,17524,44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
Raymund Tournie,4/19/1955,365-66-5026,53662,41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Noemi Ruffler,10/19/2011,748-77-7857,56298,29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
Rhys Quennell,6/15/1988,177-67-9642,42814,25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
Addy Preon,10/11/1961,479-90-2494,61843,18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,,<=50K
Regine Hannigane,6/3/1971,534-46-2609,90260,47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K
Oralie Keegan,10/5/1999,884-12-2409,74955,50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
John Matthias,12/18/1973,492-53-6924,9825,47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
Mill Kondratowicz,11/5/2009,465-45-0129,96085,43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
Johnath Spada,11/27/1957,528-32-0498,70747,46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
Felice Yansons,2/7/1987,233-37-3234,78345,35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
Hamish Poyntz,2/16/1956,136-92-3568,49792,41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
Ruthie McVittie,12/29/1978,692-85-3206,43800,30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
Mufinella Paddington,3/21/1975,565-95-8300,54588,30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
Catlee Antram,10/14/1972,412-24-3430,21928,32,,293936,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,0,0,40,,<=50K
Rebeka Casali,9/23/1983,789-15-5786,16447,48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
Laurel Meale,4/12/1970,607-06-4756,28084,42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
Cull Condon,8/25/1986,855-03-5568,7741,29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
Kincaid Plume,10/13/2003,352-03-1627,34450,36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Rolph Khotler,9/8/1954,116-42-9454,63607,28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Bert Baffin,3/26/1952,354-28-4778,57844,53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
Estrellita Cranfield,6/29/2003,202-54-6417,15575,49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
Christin Pichan,11/15/1970,308-58-7125,99602,25,,200681,Some-college,10,Never-married,,Own-child,White,Male,0,0,40,United-States,<=50K
Brooks Lakes,3/20/1974,348-13-3020,42877,19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
Charmane Proffer,3/8/1967,407-21-9891,4228,31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
Faythe Toseland,2/26/2007,894-56-3343,59245,29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K
Daisey O'Shirine,2/16/1960,817-93-8996,36400,23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
Rhonda Hartshorn,1/8/1982,137-25-1899,36303,79,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
Joete MacCosto,6/24/1999,575-55-1718,10728,27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K
Francisco Blanckley,10/23/1985,401-24-4634,41704,40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
Hy Gilliat,1/15/1970,780-08-6368,3864,67,,212759,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,<=50K
Elyssa Lammerich,7/10/1954,193-77-0902,20053,18,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
Ginger Freemantle,9/3/2000,806-93-6560,93338,31,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
Fiann McKie,2/24/1956,260-79-1363,41953,18,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
Genny Duffan,11/30/2010,721-66-8737,69166,52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K
Sharona Rotlauf,10/27/2001,260-62-1962,51962,46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
Nerissa Grisbrook,10/15/1965,382-89-2144,69786,59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
Shep Ottley,1/7/1963,740-10-8618,21742,44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K
Hew Benoy,6/16/1980,890-28-6134,78233,53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
Wes Pennetti,10/15/1975,152-84-6645,17853,49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
Willdon Parradye,2/7/1960,851-67-7774,47070,33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
Selina Barkworth,6/2/1961,587-11-3746,22875,30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
Sonja Dalliwater,8/1/1965,701-55-6252,87299,43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
Beverly Adds,6/20/1968,172-85-0404,25617,57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
Wright Jeacop,6/20/2003,791-91-4122,76143,37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
Georgi Beamond,10/26/1955,789-47-5235,6503,28,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
Nicol Raith,11/19/1961,556-55-2624,29246,30,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,,<=50K
Isadora Gardener,8/16/1988,667-72-9887,23629,34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
Doloritas Bedin,5/24/1984,827-54-2200,89420,29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
Jeremy Bloor,2/25/1952,464-47-6045,45761,48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K
Manfred McBeith,12/15/1992,689-95-5941,79098,37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
Archaimbaud Rymell,2/25/1989,296-78-7145,69695,48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50K
Lurlene Adamczyk,11/2/2010,831-77-2386,7473,32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
Hilary Lindback,8/13/1973,632-57-2869,47987,76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Katha Poppy,4/1/1988,804-73-8338,61696,44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
Clerkclaude Son,8/5/1972,421-22-2083,82887,47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
Doy Pymer,4/10/1951,525-93-2970,65370,20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
Alford Haswell,11/3/1991,580-08-0988,21946,29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Rodd Collelton,9/17/1964,272-48-6416,76195,32,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
Janaya Elloit,5/22/2005,296-76-3644,67319,17,,304873,10th,6,Never-married,,Own-child,White,Female,34095,0,32,United-States,<=50K
Gilberta Shilstone,10/21/1976,646-64-7150,43233,30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
Dorris Detoc,7/10/1979,717-59-8236,73447,31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Melicent Boeter,4/21/1986,546-39-3020,70647,42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
Laurel Conn,10/22/1992,471-93-7307,18243,24,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
Fanchette Skottle,3/29/1972,820-64-2034,9902,38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Yule Ferrarotti,3/5/1961,446-17-6535,52680,56,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50K
Jeniffer Popple,9/10/1997,277-62-0140,96014,28,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
Marven Danihelka,6/8/1954,586-42-6950,66749,36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
Caril Peschka,2/13/1954,116-77-0949,92687,53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
Koral Tomkin,12/12/1987,844-28-5903,96857,56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
Tadd Sancraft,4/5/2010,122-68-7177,21569,49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
Benedikta Leipnik,4/9/2005,567-67-3819,34093,55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
Kimmy Oganesian,5/27/1964,466-50-8862,70644,22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
Goldy Ingamells,4/23/2001,535-66-6978,11223,21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
Hunt Salisbury,3/4/1987,755-25-8853,33754,40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Cherice Coweuppe,7/12/1956,548-89-5261,82340,30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,<=50K
Clea Di Francesco,9/27/1960,396-82-2711,99050,29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
Kelcey Teese,2/9/1994,288-59-1467,47434,19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
Maia Phillip,12/17/1988,506-36-1762,78588,47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
Querida Licciardiello,12/3/2001,648-41-9013,69542,20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K
Xever Arckoll,3/26/1999,825-87-1242,48024,31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
Lucienne Bjerkan,7/22/1983,291-44-4348,90907,35,,129305,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,<=50K
Anastasie Guilloton,2/24/1984,246-86-9055,8577,39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Jasmin Rudgerd,8/2/1991,234-93-0102,95974,28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
Clerkclaude Vowles,1/15/1992,217-25-8863,22052,24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K
Madelaine Newlands,6/11/1952,248-93-1603,50463,38,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
Cointon McCoveney,1/23/1975,810-83-9788,71660,37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
Pate Kissick,7/5/2002,210-72-3881,64400,46,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
Rosy Jefford,1/14/2008,433-57-3376,75436,38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K
Joela Geertz,1/3/1980,373-55-1830,86543,43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
Adler Croizier,10/23/1978,562-98-2247,66375,27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
Malory Gander,1/4/2006,431-13-8838,56405,20,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
Bondie Gettens,12/2/1957,564-98-6842,97236,49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
Rachelle Robardet,5/11/2004,334-24-0668,43448,61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Merle Edmeads,2/24/1967,145-70-0386,7298,27,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
Roderic Shuttleworth,5/16/1956,788-61-1613,59397,19,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,<=50K
Bernadette Tye,7/26/1955,730-37-3808,23904,45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50K
Boris Aronov,10/21/1977,710-46-3628,86067,70,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
Philipa Comley,10/16/1999,314-83-4662,54991,31,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
Ibby McGall,7/16/1969,734-63-7061,38526,22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
Wash Gives,8/10/2012,251-65-4668,61491,36,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
Frank Sugar,1/21/1972,512-89-4375,11420,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
Munmro Schettini,2/22/1984,417-02-5152,53732,43,,174662,Some-college,10,Divorced,,Not-in-family,White,Female,0,0,40,United-States,<=50K
Kristel Devaney,2/25/1982,837-75-6896,72739,47,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,<=50K
Ashly Scoggans,1/12/2007,160-36-7357,58301,34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Ardyth Danniel,3/12/2003,425-52-3206,53222,33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
Jennee Easson,12/3/1991,195-29-4957,16404,21,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
Jennie Fosse,1/24/2012,152-75-8293,20222,52,,252903,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,45,United-States,>50K
Malory Mattheeuw,2/19/1978,590-10-5213,98926,48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
Ode Phetteplace,1/4/1958,203-40-5328,90600,23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
Rodina Lawlings,4/21/1983,103-24-4654,63643,71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
Bab Girardengo,11/23/1964,716-03-5305,61919,29,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
Sonya Deek,4/9/1993,179-93-7906,46532,42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
Corabel Ertelt,3/5/2011,249-87-6079,91611,68,,38317,1st-4th,2,Divorced,,Not-in-family,White,Female,0,0,20,United-States,<=50K
Sharona Le Franc,8/7/1980,873-96-7454,43712,25,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
Stefanie Hazard,2/28/2003,674-87-2050,29078,44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
Felicia Duff,8/7/1991,307-21-9664,57141,28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50K
Kaleena Volet,7/10/1959,486-68-9387,75301,45,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
Amata Phythian,11/12/2004,257-65-8601,96933,36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
